P_ID	Name	Ambassador_of	Label
p13	<Ahmad_Sadegh-Bonab>	<wikicat_Ambassadors_of_Iran_to_Ukraine>	"Ahmad"
p16	<Ali_Jannati>	<wikicat_Ambassadors_of_Iran_to_Kuwait>	"علی جنتی"@fas
p31	<Abbas_Ali_Khalatbari>	<wikicat_Ambassadors_of_Iran>	"عباسعلي خلعتبري"@fas
p31	<Abbas_Ali_Khalatbari>	<wikicat_Ambassadors_of_Iran_to_Poland>	"عباسعلي خلعتبري"@fas
p32	<Hossein_Navab>	<wikicat_Ambassadors_of_Iran_to_the_Netherlands>	"Hossein"
p39	<Abolqasem_Najm>	<wikicat_Ambassadors_of_Iran>	"نجم الملك"@fas
p39	<Abolqasem_Najm>	<wikicat_Ambassadors_of_Iran_to_Afghanistan>	"نجم الملك"@fas
p39	<Abolqasem_Najm>	<wikicat_Ambassadors_of_Iran_to_France>	"نجم الملك"@fas
p39	<Abolqasem_Najm>	<wikicat_Ambassadors_of_Iran_to_Germany>	"نجم الملك"@fas
p39	<Abolqasem_Najm>	<wikicat_Ambassadors_of_Iran_to_Iraq>	"نجم الملك"@fas
p39	<Abolqasem_Najm>	<wikicat_Ambassadors_of_Iran_to_Japan>	"نجم الملك"@fas
p40	<Ali_Amini>	<wikicat_Ambassadors_of_Iran_to_the_United_States>	"علی امینی"@fas
p50	<Ali_Akbar_Mohtashamipur>	<wikicat_Ambassadors_of_Iran_to_Syria>	"علي اكبر محتشمي"@fas
p69	<Abdullah_Entezam>	<wikicat_Ambassadors_of_Iran_to_Germany>	"عبدالله انتظام وزیری"@fas
p72	<Ahmad_Mirfendereski>	<wikicat_Ambassadors_of_Iran_to_the_Soviet_Union>	"Ahmad Mirfendereski"
p80	<Amir_Khosrow_Afshar>	<wikicat_Ambassadors_of_Iran>	"Amir Khosrow Afshar"@eng
p80	<Amir_Khosrow_Afshar>	<wikicat_Ambassadors_of_Iran_to_France>	"Amir Khosrow Afshar"@eng
p80	<Amir_Khosrow_Afshar>	<wikicat_Ambassadors_of_Iran_to_Germany>	"Amir Khosrow Afshar"@eng
p80	<Amir_Khosrow_Afshar>	<wikicat_Ambassadors_of_Iran_to_the_United_Kingdom>	"Amir Khosrow Afshar"@eng
p81	<Hasan_Arsanjani>	<wikicat_Ambassadors_of_Iran>	"حسن ارسنجاني"@fas
p81	<Hasan_Arsanjani>	<wikicat_Ambassadors_of_Iran_to_Italy>	"حسن ارسنجاني"@fas
p83	<Abbas_Aram>	<wikicat_Ambassadors_of_Iran_to_China>	"Abbas Aram"
p83	<Abbas_Aram>	<wikicat_Ambassadors_of_Iran_to_Iraq>	"Abbas Aram"
p83	<Abbas_Aram>	<wikicat_Ambassadors_of_Iran_to_Japan>	"Abbas Aram"
p83	<Abbas_Aram>	<wikicat_Ambassadors_of_Iran_to_the_United_Kingdom>	"Abbas Aram"
p88	<Hasan_Arfa>	<wikicat_Ambassadors_of_Iran_to_Pakistan>	"حسن ارفع"@fas
p97	<Mohammad_Soleimani>	<wikicat_Ambassadors_of_Iran_to_Mali>	"محمد سلیمانی"@fas
p104	<Ardeshir_Zahedi>	<wikicat_Ambassadors_of_Iran_to_the_United_Kingdom>	"اردشير زاهدي"@fas
p104	<Ardeshir_Zahedi>	<wikicat_Ambassadors_of_Iran_to_the_United_States>	"اردشير زاهدي"@fas
p105	<Manouchehr_Mottaki>	<wikicat_Ambassadors_of_Iran_to_Japan>	"متکی"@fas
p112	<Mahmoud_Jam>	<wikicat_Ambassadors_of_Iran>	"محمود جم"@fas
p112	<Mahmoud_Jam>	<wikicat_Ambassadors_of_Iran_to_Italy>	"محمود جم"@fas
p119	<Ali_Soheili>	<wikicat_Ambassadors_of_Iran>	"علی سهیلی"@fas
p119	<Ali_Soheili>	<wikicat_Ambassadors_of_Iran_to_Afghanistan>	"علی سهیلی"@fas
p119	<Ali_Soheili>	<wikicat_Ambassadors_of_Iran_to_the_United_Kingdom>	"علی سهیلی"@fas
p125	<Ali_Mansur>	<wikicat_Ambassadors_of_Iran_to_Italy>	"منصور الملک"@fas
p132	<Mirza_Abolhassan_Khan_Ilchi>	<wikicat_Ambassadors_of_Iran>	"ابوالحسن شیرازی"@fas
p137	<Hassan_Taqizadeh>	<wikicat_Ambassadors_of_Iran>	"تقی‌زاده"@fas
p137	<Hassan_Taqizadeh>	<wikicat_Ambassadors_of_Iran_to_France>	"تقی‌زاده"@fas
p137	<Hassan_Taqizadeh>	<wikicat_Ambassadors_of_Iran_to_the_United_Kingdom>	"تقی‌زاده"@fas
p149	<Hassan_Pakravan>	<wikicat_Ambassadors_of_Iran>	"حسن پاکروان"@fas
p149	<Hassan_Pakravan>	<wikicat_Ambassadors_of_Iran_to_France>	"حسن پاکروان"@fas
p149	<Hassan_Pakravan>	<wikicat_Ambassadors_of_Iran_to_Pakistan>	"حسن پاکروان"@fas
p152	<Nematollah_Nassiri>	<wikicat_Ambassadors_of_Iran_to_Pakistan>	"سرلشكر نصيري"@fas
p162	<Hushang_Ansary>	<wikicat_Ambassadors_of_Iran_to_Pakistan>	"هوشنگ انصاري"@fas
p162	<Hushang_Ansary>	<wikicat_Ambassadors_of_Iran_to_the_United_States>	"هوشنگ انصاري"@fas
p171	<Hossein_Ala'>	<wikicat_Ambassadors_of_Iran>	"حسين علاء"@fas
p175	<Haji_Washington>	<wikicat_Ambassadors_of_Iran>	"حاجي واشنگتن"@fas
p175	<Haji_Washington>	<wikicat_Ambassadors_of_Iran_to_Afghanistan>	"حاجي واشنگتن"@fas
p175	<Haji_Washington>	<wikicat_Ambassadors_of_Iran_to_France>	"حاجي واشنگتن"@fas
p175	<Haji_Washington>	<wikicat_Ambassadors_of_Iran_to_Germany>	"حاجي واشنگتن"@fas
p175	<Haji_Washington>	<wikicat_Ambassadors_of_Iran_to_Japan>	"حاجي واشنگتن"@fas
p175	<Haji_Washington>	<wikicat_Ambassadors_of_Iran_to_the_United_States>	"حاجي واشنگتن"@fas
p186	<Hossein_Ghods-Nakhai>	<wikicat_Ambassadors_of_Iran_to_Iraq>	"Hossein Ghods-Nakhai"@eng
p186	<Hossein_Ghods-Nakhai>	<wikicat_Ambassadors_of_Iran_to_Japan>	"Hossein Ghods-Nakhai"@eng
p186	<Hossein_Ghods-Nakhai>	<wikicat_Ambassadors_of_Iran_to_the_United_Kingdom>	"Hossein Ghods-Nakhai"@eng
p186	<Hossein_Ghods-Nakhai>	<wikicat_Ambassadors_of_Iran_to_the_United_States>	"Hossein Ghods-Nakhai"@eng
p208	<Mohsen_Rais>	<wikicat_Ambassadors_of_Iran_to_France>	"Mohsen Rais"@eng
p208	<Mohsen_Rais>	<wikicat_Ambassadors_of_Iran_to_Germany>	"Mohsen Rais"@eng
p208	<Mohsen_Rais>	<wikicat_Ambassadors_of_Iran_to_Iraq>	"Mohsen Rais"@eng
p208	<Mohsen_Rais>	<wikicat_Ambassadors_of_Iran_to_Romania>	"Mohsen Rais"@eng
p208	<Mohsen_Rais>	<wikicat_Ambassadors_of_Iran_to_Yugoslavia>	"Mohsen Rais"@eng
p208	<Mohsen_Rais>	<wikicat_Ambassadors_of_Iran_to_the_Netherlands>	"Mohsen Rais"@eng
p208	<Mohsen_Rais>	<wikicat_Ambassadors_of_Iran_to_the_United_Kingdom>	"Mohsen Rais"@eng
p236	<Hassan_Pirnia>	<wikicat_Ambassadors_of_Iran_to_Russia>	"حسن پيرنيا"@fas
p242	<Alireza_Sheikhattar>	<wikicat_Ambassadors_of_Iran>	"Ali-Reza"@deu
p242	<Alireza_Sheikhattar>	<wikicat_Ambassadors_of_Iran_to_Germany>	"Ali-Reza"@deu
